"A1","A2","B1","B2","HABITAT-1","HABITAT-2","HABITAT-3","species","SELECTION","SELECTED"
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"2740","A2 & B1",TRUE
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"11102","A2",TRUE
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"2144","A2 & B1",TRUE
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"23","A2 & B1",TRUE
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"15162","A2",TRUE
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"6989","A2",TRUE
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"9283","C",TRUE
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"14965","A2",TRUE
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"15840","A2 & B1",TRUE
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"8863","A2 & B1",TRUE
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"9655","A2",TRUE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"9280","C",TRUE
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"15156","A2",TRUE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"9663","Not selected",FALSE
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"11151","A2",TRUE
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"6273","A2",TRUE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"4737","Not selected",FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"14607","Not selected",FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"14948","Not selected",FALSE
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"14863","A2",TRUE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"3641","Not selected",FALSE
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"12901","A2",TRUE
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"14054","A2 & B1",TRUE
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"14325","A2",TRUE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"11718","Not selected",FALSE
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"9387","A2 & B1",TRUE
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"40496","A2",TRUE
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"4776","A2",TRUE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"497","Not selected",FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"479","Not selected",FALSE
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"9369","A2 & B1",TRUE
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"12010","A2 & B1",TRUE
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"15057","A2",TRUE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"7319","Not selected",FALSE
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"17650","B1",TRUE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"10895","Not selected",FALSE
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"197","Not selected",FALSE
