"species","class_rel.sites","freq.class_rel.sites","freq_tot","freq_rel.class_rel.sites"
"10013","(0,0.05]",2,11,0.181818181818182
"10013","(0.05,0.1]",1,11,0.0909090909090909
"10037","(0,0.05]",1,4,0.25
"10042","(0.15,0.2]",1,43,0.0232558139534884
"10042","(0,0.05]",2,43,0.0465116279069767
"10070","(0,0.05]",1,10,0.1
"10090","(0,0.05]",3,23,0.130434782608696
"10106","(0,0.05]",46,68,0.676470588235294
"10106","(0.05,0.1]",8,68,0.117647058823529
"10106","(0.45,0.5]",1,68,0.0147058823529412
"10106","(0.65,0.7]",1,68,0.0147058823529412
"10113","(0.1,0.15]",1,207,0.00483091787439614
"10113","(0.95,1]",1,207,0.00483091787439614
"10113","(0,0.05]",28,207,0.135265700483092
"10113","(0.05,0.1]",4,207,0.0193236714975845
"10118","(0,0.05]",2,10,0.2
"10130","(0.45,0.5]",1,109,0.00917431192660551
"10130","(0,0.05]",50,109,0.458715596330275
"10130","(0.15,0.2]",3,109,0.0275229357798165
"10130","(0.25,0.3]",3,109,0.0275229357798165
"10130","(0.05,0.1]",8,109,0.073394495412844
"10130","(0.35,0.4]",2,109,0.018348623853211
"10130","(0.1,0.15]",5,109,0.0458715596330275
"10145","(0,0.05]",3,7,0.428571428571429
"10147","(0,0.05]",4,9,0.444444444444444
"10169","(0,0.05]",7,53,0.132075471698113
"10169","(0.1,0.15]",1,53,0.0188679245283019
"10182","(0.25,0.3]",1,23,0.0434782608695652
"10182","(0,0.05]",15,23,0.652173913043478
"10182","(0.1,0.15]",1,23,0.0434782608695652
"10182","(0.4,0.45]",1,23,0.0434782608695652
"10192","(0,0.05]",5,27,0.185185185185185
"10192","(0.05,0.1]",1,27,0.037037037037037
"10192","(0.4,0.45]",1,27,0.037037037037037
"10192","(0.3,0.35]",1,27,0.037037037037037
"10192","(0.2,0.25]",1,27,0.037037037037037
"10192","(0.5,0.55]",1,27,0.037037037037037
"10192","(0.15,0.2]",1,27,0.037037037037037
"10237","(0,0.05]",2,17,0.117647058823529
"10312","(0.05,0.1]",3,72,0.0416666666666667
"10312","(0,0.05]",24,72,0.333333333333333
"10323","(0.05,0.1]",1,62,0.0161290322580645
"10323","(0.2,0.25]",1,62,0.0161290322580645
"10323","(0.4,0.45]",1,62,0.0161290322580645
"10323","(0,0.05]",20,62,0.32258064516129
"10328","(0.95,1]",1,116,0.00862068965517241
"10328","(0.05,0.1]",5,116,0.0431034482758621
"10328","(0.25,0.3]",2,116,0.0172413793103448
"10328","(0,0.05]",42,116,0.362068965517241
"10328","(0.45,0.5]",1,116,0.00862068965517241
"10328","(0.2,0.25]",1,116,0.00862068965517241
"10328","(0.15,0.2]",1,116,0.00862068965517241
"10328","(0.1,0.15]",1,116,0.00862068965517241
"10328","(0.7,0.75]",1,116,0.00862068965517241
"10339","(0,0.05]",2,8,0.25
"10339","(0.1,0.15]",1,8,0.125
"10340","(0,0.05]",1,15,0.0666666666666667
"10342","(0,0.05]",1,1,1
"10362","(0.05,0.1]",1,119,0.00840336134453781
"10362","(0,0.05]",12,119,0.100840336134454
"10366","(0,0.05]",4,22,0.181818181818182
"10377","(0,0.05]",30,120,0.25
"10377","(0.1,0.15]",1,120,0.00833333333333333
"10377","(0.05,0.1]",2,120,0.0166666666666667
"10379","(0,0.05]",27,53,0.509433962264151
"10379","(0.25,0.3]",1,53,0.0188679245283019
"10379","(0.15,0.2]",1,53,0.0188679245283019
"10379","(0.05,0.1]",4,53,0.0754716981132075
"10379","(0.2,0.25]",1,53,0.0188679245283019
"10388","(0,0.05]",25,62,0.403225806451613
"10395","(0.05,0.1]",2,46,0.0434782608695652
"10395","(0,0.05]",12,46,0.260869565217391
"10395","(0.3,0.35]",1,46,0.0217391304347826
"10396","(0.05,0.1]",4,51,0.0784313725490196
"10396","(0,0.05]",19,51,0.372549019607843
"10396","(0.2,0.25]",1,51,0.0196078431372549
"10396","(0.1,0.15]",2,51,0.0392156862745098
"10401","(0,0.05]",1,1,1
"10419","(0,0.05]",2,23,0.0869565217391304
"10428","(0,0.05]",29,62,0.467741935483871
"10428","(0.1,0.15]",2,62,0.032258064516129
