"","X10559","X10896","X11038","X11102","X11135","X11354","X11385","X11422","X11491","X11573","X13036","X3317","X4565","X4824","X4832","X4837","X5924","X6077","X6427","X6490","X6989","X7035","X711","X8244","X8256","X8863","X8948","X9387"
"X10559",0,0.191412566703508,0.192472345434734,0.0716385653853882,0.103180867896905,0.0606835280207319,0.170890556351111,0.143383019041066,0.181586836371805,0.0971849573015156,0.0504594399569826,0.190640225662396,0.0796861938961594,0.0923807480224406,0.23237147167862,0.151839232040155,0.142930610073448,0.101524886141989,0.163302992568624,0.27098795112422,0.136216002296981,0.276928576231052,0.118580905335673,0.116443741873329,0.0972010263615065,0.0575946053040282,0.0894169200694623,0.0962725867771276
"X10896",0.191412566703508,0,0.389638476131843,0.114899945840166,0.236240625233494,0.132549896292237,0.55097343328514,0.144462238901546,0.380367512514371,0.406842438207708,0.39746644116519,0.494187912191781,0.43730559743943,0.181685605172541,0.640233004146042,0.526614008785397,0.22787537527658,0.447012783628034,0.331499886540803,0.482343659227798,0.0763473836438231,0.645498820700332,0.194725774211324,0.214604598050715,0.120434363183149,0.125254835280646,0.1572772052577,0.345820100745262
"X11038",0.192472345434734,0.389638476131843,0,0.146280315017252,0.184804341862732,0.173185220383211,0.177553670106769,0.136343436096096,0.194025893347072,0.247266753719624,0.0917197655696134,0.0692572031464656,0.160339927244953,0.146281275837198,0.196940152656222,0.158481036642055,0.0612174888339648,0.103909654884572,0.049420057566669,0.0419381620106991,0.142576398358801,0.257026062700467,0.0827865264326511,0.16301974733043,0.227437627826348,0.394945150652399,0.257207836704662,0.0836882463291474
"X11102",0.0716385653853882,0.114899945840166,0.146280315017252,0,0.103576060233915,0.0212403902432089,0.2354394039126,0.108623634420524,0.176648394330174,0.175945565307222,0.0840280473179988,0.163692346763851,0.136547836826137,0.0589659883989413,0.314272195161322,0.215120695460516,0.101691276566419,0.136850799966524,0.105372111568845,0.22554463380825,0.0602279601166845,0.341470800094304,0.0410278436726174,0.091971879403526,0.0497237308947612,0.0753125255660937,0.0430995999258895,0.0465240635809002
"X11135",0.103180867896905,0.236240625233494,0.184804341862732,0.103576060233915,0,0.113630168028335,0.284152784968627,0.0850864308494547,0.267155820189688,0.156473365433752,0.121230354785966,0.115087583588138,0.220187920649599,0.0381504845365618,0.292334571170874,0.265741301068296,0.0977651009381459,0.193961486087404,0.148343031980693,0.225654145676103,0.176173270379524,0.404676550597578,0.168520590868667,0.0220515105760112,0.0796011658878487,0.126954906868283,0.0492347348660695,0.143890783843187
"X11354",0.0606835280207319,0.132549896292237,0.173185220383211,0.0212403902432089,0.113630168028335,0,0.225190320077733,0.142699225102657,0.157827410100212,0.172364971185146,0.0742941653219059,0.191325021731235,0.11704577424454,0.0936505322454515,0.310741559949803,0.203788299337005,0.131026148407275,0.125161053104323,0.132890481072267,0.255657512322252,0.0765709029424426,0.326483567613449,0.0543900623919676,0.128907088463088,0.0797944318086061,0.0597896454887668,0.0703499698112526,0.0369538061844029
"X11385",0.170890556351111,0.55097343328514,0.177553670106769,0.2354394039126,0.284152784968627,0.225190320077733,0,0.31435280856212,0.2081259032134,0.105231614129474,0.10185225179714,0.175902364311257,0.0681320491915956,0.262082130739245,0.0322110390709659,0.0191848589319869,0.242967056030309,0.0977373282086453,0.213246761038187,0.213719889734317,0.299672095191866,0.0894206961240847,0.210512270861442,0.293803854113754,0.354060153274373,0.419764411105965,0.3583972990054,0.14723162590561
"X11422",0.143383019041066,0.144462238901546,0.136343436096096,0.108623634420524,0.0850864308494547,0.142699225102657,0.31435280856212,0,0.300599959473123,0.202644156113845,0.154826784799135,0.160127899473945,0.253440540133476,0.0531899458503625,0.332508752036439,0.299121704592945,0.0226805018623477,0.226511124033807,0.0503266347597536,0.179384630771141,0.0659825209343016,0.438306239464058,0.128633089813575,0.061751751262333,0.0593601720069948,0.164394579910639,0.0836444512786708,0.173902162829242
"X11491",0.181586836371805,0.380367512514371,0.194025893347072,0.176648394330174,0.267155820189688,0.157827410100212,0.2081259032134,0.300599959473123,0,0.149317392874764,0.058408563720506,0.21283123138755,0.102963005849833,0.253849301970581,0.293567583841867,0.183481311799508,0.291754315035832,0.223419448502042,0.152521007199035,0.277575434720881,0.232506541571139,0.188781202184064,0.203659560755592,0.284757631937389,0.240671939306806,0.286387797581931,0.331678950456014,0.0526222023336231
"X11573",0.0971849573015156,0.406842438207708,0.247266753719624,0.175945565307222,0.156473365433752,0.172364971185146,0.105231614129474,0.202644156113845,0.149317392874764,0,0.106544237544443,0.204047498250841,0.0985186001360285,0.151827748315631,0.133829487206121,0.0985466557437203,0.22167983138404,0.178765434611392,0.19580031509489,0.291229524433035,0.245236464071817,0.129384529740536,0.235908635952682,0.17092226772397,0.171345710411326,0.264626815661506,0.260659403940367,0.173693402256333
