"PFG","no.species","GROUP","DISPERSAL","light","NITROGEN","MOISTURE","height"
"Chamaephyte.1",11,"Chamaephyte","6","3","3","2.5",4
"Chamaephyte.2",1,"Chamaephyte","6","3","2","2.5",6
"Chamaephyte.3",8,"Chamaephyte","6","3","2","3",4
"Chamaephyte.4",6,"Chamaephyte","6","3","3","3",4
"Chamaephyte.5",1,"Chamaephyte","6","3","3.5","3",5
"Chamaephyte.6",1,"Chamaephyte","6","3","2","2",5
"Herbaceous.1",65,"Herbaceous","5","3","3","3",3
"Herbaceous.2",3,"Herbaceous","5","3","3","4",4
"Herbaceous.3",92,"Herbaceous","5","3","2.5","3",3
"Herbaceous.4",1,"Herbaceous","5","4","2","2",2
"Herbaceous.5",8,"Herbaceous","4","4","2.5","2.5",3
"Herbaceous.6",29,"Herbaceous","5","3","3","3",3
"Herbaceous.7",5,"Herbaceous","6","4","2","3",3
"Herbaceous.8",1,"Herbaceous",NA,"4","2.5","3",2
"Phanerophyte.1",8,"Phanerophyte","6","3","2","2.5",7
"Phanerophyte.2",8,"Phanerophyte","4","2","3","3.5",7
"Phanerophyte.3",4,"Phanerophyte","6","3","3","2.5",7
"Phanerophyte.4",4,"Phanerophyte","5","2","3","3",7
"Phanerophyte.5",5,"Phanerophyte","6","2","3","3.5",8
"Phanerophyte.6",1,"Phanerophyte","4","3","3.5","4",7
